metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.2_0.6_0.7_0.4_singlekalman,73.522,71.59,75.859,75.937,81.015,79.364,84.322,83.257,75.879,91.895,80.342,73.83,89.522,80.786,89.635,91.683,97.814,85.714,9.5238,4.7619,11366,1031,254,14,36,4,2,128,71.906,91.76,88.884,94.828,11019,1378,601,11620,12397,54,42
macaques_0.2_0.6_0.7_0.5_doublekalman,71.994,68.63,75.844,72.169,81.825,79.375,84.566,83.481,73.966,89.452,80.712,72.199,85.617,81.061,85.666,86.932,98.564,76.19,14.286,9.5238,10777,1620,157,6,32,6,4,92,69.154,89.606,84.319,95.601,10453,1944,481,10934,12397,47,42
macaques_0.2_0.6_0.7_0.5_singlekalman,72.946,71.598,74.703,75.938,81.015,78.101,84.489,83.251,75.296,90.959,80.33,73.068,89.57,80.765,89.699,91.716,97.849,85.714,9.5238,4.7619,11370,1027,250,16,36,4,2,127,71.928,90.286,87.457,93.305,10842,1555,778,11620,12397,57,42
macaques_0.2_0.6_0.7_0.6_doublekalman,71.966,68.614,75.799,72.07,82.013,78.857,85.472,83.567,73.895,89.114,80.861,72.059,85.545,81.162,85.601,86.739,98.706,76.19,14.286,9.5238,10753,1644,141,7,32,6,4,81,69.205,89.734,84.295,95.924,10450,1947,444,10894,12397,50,42
macaques_0.2_0.6_0.7_0.6_singlekalman,73.15,71.642,75.069,75.941,81.068,78.471,84.58,83.257,75.483,91.196,80.349,73.275,89.659,80.767,89.788,91.732,97.925,85.714,9.5238,4.7619,11372,1025,241,16,36,4,2,124,72.016,90.729,87.86,93.791,10892,1505,721,11613,12397,60,42
macaques_0.2_0.6_0.7_0.7_doublekalman,72.001,68.648,75.837,72.056,82.087,78.894,85.51,83.584,73.906,89.141,80.894,72.11,85.626,81.175,85.682,86.731,98.805,76.19,14.286,9.5238,10752,1645,130,7,32,6,4,80,69.298,89.78,84.295,96.03,10450,1947,432,10882,12397,50,42
macaques_0.2_0.6_0.7_0.7_singlekalman,73.163,71.613,75.128,75.899,81.072,78.338,84.98,83.25,75.491,91.238,80.336,73.297,89.643,80.754,89.78,91.7,97.949,85.714,9.5238,4.7619,11368,1029,238,17,36,4,2,122,71.995,90.597,87.707,93.684,10873,1524,733,11606,12397,64,42
macaques_0.2_0.6_0.7_0.8_doublekalman,71.695,68.665,75.182,72.059,82.114,78.197,85.515,83.591,73.587,88.721,80.905,71.78,85.626,81.186,85.69,86.723,98.823,76.19,14.286,9.5238,10751,1646,128,8,32,6,4,79,69.31,88.924,83.48,95.128,10349,2048,530,10879,12397,50,42
macaques_0.2_0.6_0.7_0.8_singlekalman,72.672,71.637,74.116,75.914,81.095,77.241,84.985,83.261,74.986,90.515,80.363,72.741,89.772,80.748,89.917,91.764,98.027,85.714,9.5238,4.7619,11376,1021,229,18,36,4,2,120,72.105,89.334,86.481,92.383,10721,1676,884,11605,12397,65,42
macaques_0.2_0.6_0.7_0.9_doublekalman,71.274,68.679,74.299,72.066,82.152,77.275,85.405,83.617,73.156,88.049,80.944,71.271,85.601,81.217,85.69,86.706,98.841,76.19,14.286,9.5238,10749,1648,126,11,32,6,4,76,69.315,87.805,82.415,93.949,10217,2180,658,10875,12397,51,42
macaques_0.2_0.6_0.7_0.9_singlekalman,72.067,71.626,72.922,75.895,81.123,75.967,85.029,83.282,74.367,89.579,80.397,72.019,89.731,80.774,89.893,91.724,98.043,85.714,9.5238,4.7619,11371,1026,227,20,36,4,2,119,72.096,87.593,84.771,90.61,10509,1888,1089,11598,12397,68,42
macaques_0.2_0.6_0.7_0_doublekalman,70.732,69.541,72.277,73.461,81.414,78.953,78.297,83.379,72.848,88.185,80.4,70.901,86.642,80.988,86.731,88.481,98.06,83.333,11.905,4.7619,10969,1428,217,11,35,5,2,117,69.82,87.436,83.165,92.169,10310,2087,876,11186,12397,39,42
macaques_0.2_0.6_0.7_0_singlekalman,71.799,70.947,73.04,75.303,81.015,78.591,80.34,83.339,74.139,89.393,80.415,71.885,88.417,80.913,88.594,90.772,97.657,85.714,9.5238,4.7619,11253,1144,270,22,36,4,2,141,71.091,89.574,86.416,92.971,10713,1684,810,11523,12397,50,42
macaques_0.2_0.6_0.7_1_doublekalman,71.252,68.442,74.502,71.798,82.194,77.479,85.443,83.641,73.119,87.989,80.978,71.252,85.254,81.252,85.335,86.343,98.846,76.19,11.905,11.905,10704,1693,125,10,32,5,5,75,69.067,87.953,82.391,94.321,10214,2183,615,10829,12397,51,42
macaques_0.2_0.6_0.7_1_singlekalman,71.928,71.577,72.697,75.84,81.128,75.713,85.027,83.284,74.225,89.365,80.394,71.845,89.651,80.778,89.82,91.651,98.041,85.714,9.5238,4.7619,11362,1035,227,21,36,4,2,120,72.033,87.076,84.238,90.111,10443,1954,1146,11589,12397,69,42
macaques_0.2_0.6_0.8_0.1_doublekalman,71.658,69.442,74.275,73.34,81.36,80.865,80.039,83.328,73.788,89.463,80.375,71.905,86.723,80.911,86.755,88.449,98.121,80.952,14.286,4.7619,10965,1432,210,4,34,6,2,108,69.839,88.232,83.883,93.056,10399,1998,776,11175,12397,38,42
macaques_0.2_0.6_0.8_0.1_singlekalman,73.6,71.385,76.254,75.909,80.811,80.73,82.619,83.259,76.061,92.012,80.27,73.858,89.005,80.842,89.191,91.562,97.475,85.714,9.5238,4.7619,11351,1046,294,23,36,4,2,132,71.464,92.621,89.812,95.612,11134,1263,511,11645,12397,45,42
macaques_0.2_0.6_0.8_0.2_doublekalman,71.726,69.52,74.329,73.383,81.422,80.84,80.067,83.347,73.837,89.52,80.433,72.004,86.836,80.926,86.868,88.497,98.192,80.952,14.286,4.7619,10971,1426,202,4,34,6,2,104,69.955,88.307,83.948,93.144,10407,1990,766,11173,12397,38,42
macaques_0.2_0.6_0.8_0.2_singlekalman,72.864,71.453,74.659,75.966,80.789,80.484,80.914,83.223,75.291,91.176,80.216,73.138,89.255,80.795,89.368,91.7,97.521,85.714,9.5238,4.7619,11368,1029,289,14,36,4,2,132,71.645,91.145,88.425,94.038,10962,1435,695,11657,12397,45,42
