metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_macaquecp_130_5e-5,72.013,68.412,76.151,73.302,80.142,79.492,84.992,83.471,74.69,89.425,80.674,72.142,84.867,81.056,84.948,88.207,96.437,78.571,11.905,9.5238,10935,1462,404,10,33,5,4,30,68.157,88.726,84.94,92.865,10530,1867,809,11339,12397,58,42
macaques_macaquecp_140,67.173,66.214,68.533,70.261,77.486,71.667,80.47,80.646,69.357,87.573,76.912,67.354,86.037,77.491,86.319,88.497,97.598,78.571,14.286,7.1429,10971,1426,270,35,33,6,3,38,66.117,86.361,82.334,90.802,10207,2190,1034,11241,12397,59,42
macaques_macaquecp_140_1e-5,71.178,67.758,75.074,73.412,79.401,78.86,83.943,83.677,74.221,88.243,80.803,71.303,83.165,81.332,83.31,87.884,95.053,78.571,11.905,9.5238,10895,1502,567,18,33,5,4,27,66.759,87.196,83.907,90.752,10402,1995,1060,11462,12397,61,42
macaques_macaquecp_140_5e-5,71.437,68.084,75.327,72.892,80.309,78.601,85.273,83.551,74.073,88.427,80.779,71.431,84.19,81.181,84.278,87.521,96.427,78.571,11.905,9.5238,10850,1547,402,11,33,5,4,28,67.719,87.708,83.657,92.17,10371,2026,881,11252,12397,60,42
macaques_macaquecp_150,66.344,66.249,66.807,70.771,77.47,70.855,79.18,81.077,68.727,85.733,77.481,66.427,85.142,78.091,85.367,88.36,96.724,78.571,16.667,4.7619,10954,1443,371,28,33,7,2,36,65.783,83.357,79.753,87.302,9887,2510,1438,11325,12397,62,42
macaques_macaquecp_150_1e-5,71.245,67.297,75.712,73.1,79.284,78.891,85.35,83.823,74.381,88.073,80.941,71.287,82.343,81.499,82.472,87.336,94.724,78.571,14.286,7.1429,10827,1570,603,16,33,6,3,25,66.185,87.892,84.464,91.61,10471,1926,959,11430,12397,64,42
macaques_macaquecp_150_5e-5,71.837,68.834,75.307,73.463,80.896,79.133,84.304,83.765,74.359,88.841,81.015,71.974,84.972,81.456,85.069,87.941,96.838,78.571,11.905,9.5238,10902,1495,356,12,33,5,4,28,68.664,87.821,83.786,92.263,10387,2010,871,11258,12397,57,42
macaques_macaquecp_160,67.588,66.961,68.533,70.834,78.035,72.195,80.023,80.862,69.652,87.878,77.207,67.848,86.771,77.774,86.948,88.86,97.894,80.952,11.905,7.1429,11016,1381,237,22,34,5,3,42,67.021,85.987,82.02,90.358,10168,2229,1085,11253,12397,59,42
macaques_macaquecp_160_1e-5,71.607,68.447,75.211,73.717,79.884,78.883,84.15,83.617,74.446,88.622,80.76,71.571,84.238,81.271,84.391,88.336,95.726,80.952,14.286,4.7619,10951,1446,489,19,34,6,2,28,67.694,87.939,84.545,91.617,10481,1916,959,11440,12397,61,42
macaques_macaquecp_160_5e-5,71.664,68.703,75.131,72.937,81.065,78.782,84.474,83.535,73.999,88.625,80.812,71.62,85.343,81.134,85.44,87.707,97.481,78.571,11.905,9.5238,10873,1524,281,12,33,5,4,35,68.796,88.056,83.641,92.962,10369,2028,785,11154,12397,58,42
