,HOTA,DetA,AssA,MOTA,IDF1,IDs,train_data,seed,epoch
0,56.822,49.628,65.751,61.731,75.724,50,macaquepose,2,10
0,63.611,57.982,70.175,72.28,82.835,53,macaquecpw,1,90
0,64.915,60.42,70.105,80.445,86.899,55,macaquecp,2,200
0,60.95,55.429,67.389,66.712,78.666,59,macaquecp,1,80
0,63.297,59.042,68.169,76.128,84.15,56,macaquepose,1,150
0,54.784,45.487,66.234,57.385,72.133,45,macaquecp,2,10
0,62.001,55.905,69.512,73.294,84.216,56,macaquecp,2,100
0,65.534,60.857,70.975,79.069,86.41,57,macaquecp,3,150
0,64.707,60.726,69.367,75.95,84.156,58,macaquecpw,1,160
0,66.607,62.604,71.164,81.868,88.681,57,macaquecpw,2,190
0,62.374,57.791,68.129,73.501,81.786,59,macaquepose,1,80
0,65.352,60.941,70.582,74.628,84.001,59,macaquecpw,1,190
0,66.165,61.848,71.204,81.417,87.867,54,macaquecpw,3,130
0,67.407,62.955,72.569,82.206,88.794,56,macaquecpw,2,160
0,63.593,59.793,68.246,78.405,85.272,61,macaquepose,1,70
0,62.028,57.49,67.406,71.29,82.563,58,macaquecp,1,100
0,63.579,58.183,69.892,76.395,84.795,58,macaquepose,3,100
0,61.746,57.588,66.898,75.529,82.834,58,macaquepose,2,150
0,63.469,57.679,70.78,70.548,81.646,60,macaquepose,3,40
0,67.029,62.752,72.166,79.377,86.292,59,macaquecpw,3,50
0,61.141,54.919,68.655,63.398,77.569,55,macaquecp,1,70
0,66.123,62.137,70.744,81.702,88.381,56,macaquecpw,3,230
0,65.502,61.029,70.828,78.328,86.081,56,macaquecpw,1,60
0,65.31,60.762,70.528,76.994,85.407,58,macaquecp,1,200
0,59.616,53.881,66.522,68.159,78.559,61,macaquecp,3,40
0,64.709,60.668,69.644,78.328,85.146,57,macaquepose,3,200
0,64.118,59.537,69.358,73.626,83.119,57,macaquecp,1,150
0,60.204,52.07,70.158,63.237,77.804,54,macaquepose,3,10
0,61.147,55.708,67.797,67.963,80.289,56,macaquepose,2,100
0,65.476,59.443,72.891,76.164,86.063,53,macaquepose,3,150
0,55.701,47.75,65.439,58.043,73.292,49,macaquepose,1,20
0,66.414,61.905,71.6,81.162,88.657,55,macaquecpw,2,130
0,66.557,62.379,71.356,81.21,88.385,57,macaquecpw,3,160
0,50.795,40.636,63.729,46.297,62.254,43,macaquecp,3,10
0,61.042,54.543,68.934,68.473,80.559,58,macaquecpw,1,30
0,61.999,57.858,67.116,74.984,82.508,57,macaquepose,2,200
0,56.713,49.182,66.136,58.891,74.477,53,macaquecp,1,20
0,66.56,62.27,71.508,80.196,87.948,55,macaquecpw,2,230
0,65.003,61.116,69.435,75.796,84.674,58,macaquecpw,1,230
0,62.854,58.421,67.995,76.828,84.233,55,macaquepose,1,200
0,63.842,58.127,70.8,75.233,84.4,58,macaquepose,2,40
0,65.175,60.555,70.407,78.826,86.558,57,macaquecp,3,200
0,66.99,62.519,72.171,80.522,87.84,55,macaquecpw,3,190
0,66.05,62.283,70.418,78.091,85.127,57,macaquecpw,1,130
0,66.204,62.979,70.112,80.202,86.18,57,macaquecpw,2,50
0,63.932,58.217,70.856,77.32,85.647,56,macaquepose,1,100
0,60.584,54.92,67.192,70.003,80.594,58,macaquecp,3,100
0,63.413,57.711,70.035,71.195,82.647,55,macaquecp,2,40
0,65.107,60.374,70.554,79.852,87.537,55,macaquecp,2,150
0,63.97,60.212,68.238,77.836,84.334,56,macaquepose,1,170
0,63.734,60.076,68.539,78.565,83.669,57,macaquepose,3,90
0,62.522,57.786,68.291,75.63,83.466,58,macaquepose,2,180
0,64.951,60.34,70.244,78.82,86.512,57,macaquecp,3,170
0,63.779,58.005,70.98,75.583,85.806,55,macaquecp,2,30
0,65.2,59.953,71.443,77.83,86.8,56,macaquecp,2,120
0,65.355,61.427,69.978,75.15,83.129,59,macaquecpw,1,140
0,61.648,54.427,70.221,70.009,81.909,48,macaquecpw,2,20
0,65.269,61.568,69.555,78.903,85.894,57,macaquepose,2,30
0,59.873,54.839,65.675,68.319,79.518,55,macaquecp,3,90
0,64.749,59.886,70.392,80.042,87.332,56,macaquecp,2,220
0,66.912,62.281,72.443,80.646,86.683,54,macaquecpw,3,80
0,65.959,60.943,71.825,80.172,87.839,56,macaquecpw,3,70
0,63.06,56.988,70.107,70.56,82.579,52,macaquecp,1,50
0,66.77,62.854,71.307,81.109,87.881,55,macaquecpw,3,210
0,63.043,56.151,71.148,69.481,81.339,58,macaquecpw,1,40
0,64.804,59.869,70.564,78.654,86.848,54,macaquecp,3,60
0,64.535,59.502,70.316,76.158,84.603,59,macaquecp,1,220
0,63.526,59.453,68.402,76.264,83.42,54,macaquepose,3,220
0,65.317,60.886,70.39,79.039,86.773,56,macaquecpw,2,140
0,66.051,61.895,70.955,80.866,87.715,55,macaquecpw,3,110
0,58.808,52.533,66.41,69.671,80.257,54,macaquepose,1,50
0,64.417,59.251,70.366,76.193,84.689,57,macaquecp,3,180
0,64.993,59.928,70.781,75.624,85.309,56,macaquecp,1,120
0,62.101,56.669,69.008,73.436,83.779,59,macaquepose,3,60
0,63.848,59.771,68.584,77.984,85.319,54,macaquepose,1,180
0,61.637,57.776,66.259,75.766,82.434,58,macaquepose,2,170
0,63.674,58.081,70.47,76.336,84.378,55,macaquepose,3,120
0,64.593,60.51,69.328,73.887,83.307,60,macaquecpw,1,150
0,55.529,47.79,65.417,49.76,69.857,52,macaquecpw,2,30
0,64.778,60.324,70.884,77.45,83.946,61,macaquepose,3,80
0,62.943,58.128,68.532,75.814,84.423,57,macaquepose,1,160
0,61.402,57.117,66.573,75.606,82.484,59,macaquepose,2,190
0,64.813,60.114,70.345,79.804,87.401,56,macaquecp,2,130
0,62.09,56.688,68.663,71.284,80.823,49,macaquecp,2,20
0,65.268,60.423,70.877,78.992,87.092,56,macaquecp,3,160
0,64.189,59.875,69.427,77.533,87.136,56,macaquecpw,3,90
0,57.429,50.695,65.777,63.658,77.314,54,macaquepose,2,20
0,65.277,60.837,70.334,80.682,87.166,55,macaquecp,2,230
0,64.448,59.266,70.535,76.863,84.576,61,macaquecp,3,80
0,58.892,52.083,67.042,59.146,75.478,56,macaquecpw,1,50
0,63.965,59.482,69.254,77.622,84.508,59,macaquecp,3,70
0,64.265,59.589,69.609,75.701,84.602,58,macaquecp,1,230
0,64.493,59.583,70.46,76.128,84.026,54,macaquepose,3,230
