metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.01_0.6_0.8_0.1_singlekalman,56.875,46.503,69.825,77.928,49.535,77.608,75.782,82.905,73.739,70.978,79.314,56.295,31.048,80.556,31.209,94.265,59.919,90.476,4.7619,4.7619,11686,711,7817,20,38,2,2,44,12.719,68.42,88.029,55.955,10913,1484,8590,19503,12397,66,42
macaques_0.01_0.6_0.8_0.2_doublekalman,70.754,68.183,73.729,72.859,80.366,77.5,83.367,83.385,73.279,88.153,80.298,70.785,84.101,81.045,84.27,87.465,96.477,73.81,19.048,7.1429,10843,1554,396,21,31,8,3,33,67.522,86.106,82.084,90.542,10176,2221,1063,11239,12397,53,42
macaques_0.01_0.6_0.8_0.2_singlekalman,56.706,46.273,69.759,78.035,49.244,77.558,75.605,82.952,73.753,70.589,79.416,56.059,29.693,80.553,29.854,94.16,59.42,88.095,7.1429,4.7619,11673,724,7972,20,37,3,2,44,11.382,68.048,87.941,55.495,10902,1495,8743,19645,12397,68,42
macaques_0.01_0.6_0.8_0.3_doublekalman,71.053,68.401,74.113,72.786,80.796,77.458,84.236,83.435,73.433,88.489,80.407,71.151,84.456,81.091,84.633,87.36,96.973,73.81,19.048,7.1429,10830,1567,338,22,31,8,3,32,67.937,86.764,82.463,91.538,10223,2174,945,11168,12397,55,42
macaques_0.01_0.6_0.8_0.3_singlekalman,56.737,46.286,69.818,78.056,49.257,77.612,75.663,82.967,73.794,70.605,79.429,56.081,29.652,80.583,29.822,94.144,59.41,88.095,7.1429,4.7619,11671,726,7974,21,37,3,2,45,11.372,68.048,87.941,55.495,10902,1495,8743,19645,12397,68,42
macaques_0.01_0.6_0.8_0.4_doublekalman,71.311,68.461,74.579,72.798,80.86,77.842,84.559,83.436,73.67,88.841,80.391,71.42,84.569,81.092,84.722,87.376,97.052,73.81,19.048,7.1429,10832,1565,329,19,31,8,3,30,68.047,87.274,82.923,92.106,10280,2117,881,11161,12397,55,42
macaques_0.01_0.6_0.8_0.4_singlekalman,56.576,46.209,69.539,78.034,49.176,77.244,75.769,82.957,73.636,70.5,79.419,55.99,29.451,80.576,29.636,94.16,59.338,88.095,7.1429,4.7619,11673,724,7999,23,37,3,2,45,11.161,67.916,87.844,55.358,10890,1507,8782,19672,12397,69,42
macaques_0.01_0.6_0.8_0.5_doublekalman,71.446,68.599,74.717,72.898,80.949,77.93,84.674,83.474,73.788,88.833,80.482,71.495,84.754,81.135,84.908,87.481,97.143,73.81,19.048,7.1429,10845,1552,319,19,31,8,3,27,68.251,87.39,83.044,92.216,10295,2102,869,11164,12397,55,42
macaques_0.01_0.6_0.8_0.5_singlekalman,57.001,46.13,70.701,78.198,49.032,78.537,76.648,83.01,74.328,70.768,79.568,56.309,28.781,80.628,28.951,94.216,59.076,88.095,7.1429,4.7619,11680,717,8091,21,37,3,2,42,10.53,68.832,89.304,55.996,11071,1326,8700,19771,12397,69,42
macaques_0.01_0.6_0.8_0.6_doublekalman,71.341,68.149,74.973,72.916,80.293,78.232,84.6,83.449,73.925,88.848,80.418,71.45,84.149,81.112,84.295,87.553,96.411,73.81,19.048,7.1429,10854,1543,404,18,31,8,3,25,67.613,87.711,83.682,92.148,10374,2023,884,11258,12397,55,42
macaques_0.01_0.6_0.8_0.6_singlekalman,57.605,46.839,71.096,78.168,49.838,78.937,76.775,82.998,74.525,71.777,79.526,57.081,31.338,80.625,31.475,94.16,60.034,88.095,7.1429,4.7619,11673,724,7771,17,37,3,2,39,13.095,69.809,89.651,57.159,11114,1283,8330,19444,12397,68,42
macaques_0.01_0.6_0.8_0.7_doublekalman,71.308,68.234,74.815,72.924,80.409,78.082,84.395,83.455,73.851,88.765,80.445,71.407,84.246,81.118,84.383,87.537,96.522,73.81,19.048,7.1429,10852,1545,391,17,31,8,3,26,67.717,87.834,83.746,92.342,10382,2015,861,11243,12397,55,42
macaques_0.01_0.6_0.8_0.7_singlekalman,57.406,46.86,70.585,78.191,49.852,78.335,76.377,82.997,74.266,71.462,79.517,56.824,31.266,80.637,31.395,94.12,60.008,88.095,7.1429,4.7619,11668,729,7776,16,37,3,2,42,13.041,69.357,89.07,56.789,11042,1355,8402,19444,12397,68,42
