metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_nopretrain_120,58.049,48.81,72.458,54.246,70.424,75.331,84.08,79.284,61.703,77.156,72.469,55.914,56.73,76.243,56.842,66.934,86.897,53.333,29.333,17.333,17913,8849,2701,30,40,22,13,133,40.828,72.746,64.39,83.594,17232,9530,3382,20614,26762,90,75
lemurs_nopretrain_120_1e-5,57.49,48.711,72.522,54.183,68.482,75.442,83.748,77.623,61.3,78.629,69.463,54.618,56.053,74.069,56.199,67.659,85.515,50.667,33.333,16,18107,8655,3067,39,38,25,12,162,38.509,71.95,64.438,81.444,17245,9517,3929,21174,26762,87,75
lemurs_nopretrain_120_5e-5,63.163,55.422,76.271,61.244,72.082,79.585,86.055,79.211,67.048,83.582,72.751,60.807,66.916,76.062,67.02,75.992,89.441,62.667,26.667,10.667,20337,6425,2401,28,47,20,8,170,48.725,78.962,73.025,85.949,19543,7219,3195,22738,26762,91,75
lemurs_nopretrain_130,58.159,48.92,73.068,53.806,71.59,75.786,85.117,79.434,61.535,76.064,72.995,55.523,58.478,76.155,58.591,66.875,88.978,52,33.333,14.667,17897,8865,2217,30,39,25,11,150,42.532,73.982,64.793,86.209,17340,9422,2774,20114,26762,91,75
lemurs_nopretrain_130_1e-5,57.604,49.183,71.901,54.459,69.03,75.046,83.732,77.699,61.277,78.45,70.107,54.999,57.35,73.994,57.488,68.19,86.435,49.333,36,14.667,18249,8513,2864,37,37,27,11,144,39.617,72.648,64.98,82.366,17390,9372,3723,21113,26762,88,75
lemurs_nopretrain_130_5e-5,62.124,55.011,74.231,60.254,73.276,77.555,85.592,79.704,65.623,81.119,73.726,59.806,66.74,76.735,66.863,74.546,90.657,64,25.333,10.667,19950,6812,2056,33,48,19,8,165,49.397,77.161,70.305,85.499,18815,7947,3191,22006,26762,102,75
lemurs_nopretrain_140,58.234,48.432,73.549,53.32,72.035,76.511,85.426,79.783,61.623,75.941,73.3,55.664,56.042,76.81,56.203,65.111,87.965,50.667,30.667,18.667,17425,9337,2384,43,38,23,14,134,40.943,71.435,62.155,83.972,16634,10128,3175,19809,26762,91,75
lemurs_nopretrain_140_1e-5,57.007,48.41,71.323,52.963,70.665,74.501,84.07,78.215,60.233,76.873,70.866,54.477,58.112,74.51,58.239,66.594,88.852,48,37.333,14.667,17822,8940,2236,34,36,28,11,160,41.137,72.708,63.601,84.859,17021,9741,3037,20058,26762,89,75
lemurs_nopretrain_140_5e-5,61.84,54.059,74.534,59.495,72.76,77.472,85.956,79.767,65.461,81.199,73.219,59.453,64.408,76.905,64.58,73.175,89.49,64,24,12,19583,7179,2300,46,48,18,9,150,47.509,76.842,69.838,85.409,18690,8072,3193,21883,26762,100,75
lemurs_nopretrain_150,58.453,49.214,73.34,53.924,72.463,76.532,86.171,79.822,61.74,75.957,73.347,55.712,59.596,76.376,59.738,67.076,90.138,50.667,36,13.333,17951,8811,1964,38,38,27,10,153,43.75,73.522,64.117,86.161,17159,9603,2756,19915,26762,91,75
