metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_0.01_0.4_0.7_0_doublekalman,68.788,63.488,76.905,68.185,77.346,79.429,86.07,81.281,71.78,87.557,77.02,67.437,79.953,78.398,80.054,84.104,95.405,74.667,17.333,8,22508,4254,1084,27,56,13,6,122,61.785,86.309,81.197,92.107,21730,5032,1862,23592,26762,97,75
lemurs_0.01_0.4_0.7_0_singlekalman,60.081,50.078,74.558,71.455,55.911,78.792,81.544,80.462,72.232,78.206,74.319,58.122,47.467,77.911,47.627,87.714,68.633,78.667,16,5.3333,23474,3288,10728,43,59,12,4,124,28.091,72.935,83.073,65.002,22232,4530,11970,34202,26762,117,75
lemurs_0.01_0.4_0.7_1_doublekalman,68.817,63.683,76.758,68.451,77.294,79.275,85.998,81.276,71.844,87.636,76.954,67.439,80.061,78.421,80.173,84.366,95.266,74.667,17.333,8,22578,4184,1122,30,56,13,6,123,61.856,86.001,81.081,91.557,21699,5063,2001,23700,26762,96,75
lemurs_0.01_0.4_0.7_1_singlekalman,60.908,51.415,74.595,71.855,57.351,78.796,81.669,80.557,72.47,79.189,74.705,59.158,50.688,77.957,50.833,88.061,70.286,78.667,16,5.3333,23567,3195,9963,39,59,12,4,106,31.276,74.209,83.592,66.719,22371,4391,11159,33530,26762,113,75
lemurs_0.01_0.4_0.8_0.1_doublekalman,68.407,63.499,76.095,68.215,77.319,78.755,85.502,81.27,71.399,87.08,76.99,67.043,79.901,78.394,80.005,84.116,95.341,74.667,17.333,8,22511,4251,1100,28,56,13,6,122,61.726,85.327,80.304,91.021,21491,5271,2120,23611,26762,96,75
lemurs_0.01_0.4_0.8_0.1_singlekalman,59.969,50.668,73.45,71.476,56.644,77.793,80.903,80.484,71.696,77.923,74.457,58.019,48.939,77.892,49.122,87.654,69.464,78.667,16,5.3333,23458,3304,10312,49,59,12,4,119,29.56,72.775,82.303,65.224,22026,4736,11744,33770,26762,115,75
lemurs_0.01_0.4_0.8_0.2_doublekalman,68.428,63.628,76.009,68.416,77.213,78.672,85.46,81.225,71.459,87.202,76.883,67.044,79.987,78.354,80.087,84.347,95.193,74.667,17.333,8,22573,4189,1140,27,56,13,6,123,61.729,85.278,80.42,90.76,21522,5240,2191,23713,26762,95,75
lemurs_0.01_0.4_0.8_0.2_singlekalman,60.405,51.351,73.549,71.676,57.342,77.937,80.983,80.452,71.842,78.694,74.427,58.57,50.755,77.838,50.93,87.964,70.372,78.667,16,5.3333,23541,3221,9911,47,59,12,4,120,31.26,73.392,82.565,66.053,22096,4666,11356,33452,26762,113,75
lemurs_0.01_0.4_0.8_0.3_doublekalman,68.444,63.627,76.042,68.416,77.239,78.71,85.496,81.24,71.475,87.203,76.908,67.066,79.945,78.373,80.043,84.31,95.182,74.667,17.333,8,22563,4199,1142,26,56,13,6,122,61.711,85.276,80.405,90.774,21518,5244,2187,23705,26762,95,75
lemurs_0.01_0.4_0.8_0.3_singlekalman,60.284,51.13,73.567,71.667,57.084,77.951,80.982,80.451,71.847,78.5,74.418,58.418,50.194,77.873,50.366,87.957,70.059,78.667,16,5.3333,23539,3223,10060,46,59,12,4,113,30.732,73.1,82.438,65.663,22062,4700,11537,33599,26762,114,75
lemurs_0.01_0.4_0.8_0.4_doublekalman,68.61,63.636,76.387,68.424,77.248,78.892,86.037,81.248,71.647,87.341,76.922,67.185,79.945,78.386,80.043,84.31,95.182,74.667,17.333,8,22563,4199,1142,26,56,13,6,123,61.723,85.537,80.652,91.053,21584,5178,2121,23705,26762,95,75
lemurs_0.01_0.4_0.8_0.4_singlekalman,60.7,51.262,74.335,71.734,57.22,78.58,81.541,80.487,72.276,78.988,74.538,58.876,50.549,77.894,50.706,88.035,70.224,78.667,16,5.3333,23560,3202,9990,42,59,12,4,111,31.088,73.819,83.181,66.352,22261,4501,11289,33550,26762,114,75
lemurs_0.01_0.4_0.8_0.5_doublekalman,68.702,63.808,76.389,68.445,77.477,78.894,86.032,81.266,71.657,87.399,77.012,67.307,80.099,78.431,80.188,84.265,95.385,74.667,17.333,8,22551,4211,1091,24,56,13,6,123,61.923,85.6,80.611,91.249,21573,5189,2069,23642,26762,94,75
lemurs_0.01_0.4_0.8_0.5_singlekalman,60.703,51.31,74.281,71.778,57.255,78.55,81.339,80.506,72.268,78.928,74.589,58.872,50.463,77.946,50.617,87.99,70.188,78.667,16,5.3333,23548,3214,10002,41,59,12,4,112,31.058,73.584,82.916,66.14,22190,4572,11360,33550,26762,114,75
lemurs_0.01_0.4_0.8_0.6_doublekalman,68.686,63.794,76.374,68.49,77.391,78.884,86.01,81.259,71.673,87.407,76.989,67.294,80.129,78.42,80.226,84.362,95.326,74.667,17.333,8,22577,4185,1107,26,56,13,6,121,61.924,85.557,80.637,91.116,21580,5182,2104,23684,26762,94,75
lemurs_0.01_0.4_0.8_0.6_singlekalman,61.005,51.69,74.46,71.811,57.704,78.702,81.604,80.512,72.377,79.38,74.623,59.236,51.558,77.936,51.704,88.076,70.773,78.667,16,5.3333,23571,3191,9734,39,59,12,4,107,32.125,74.204,83.275,66.915,22286,4476,11019,33305,26762,112,75
lemurs_0.01_0.4_0.8_0.7_doublekalman,68.684,63.788,76.376,68.486,77.387,78.886,86.011,81.259,71.672,87.407,76.986,67.291,80.143,78.419,80.241,84.37,95.334,74.667,17.333,8,22579,4183,1105,26,56,13,6,120,61.936,85.557,80.637,91.116,21580,5182,2104,23684,26762,94,75
lemurs_0.01_0.4_0.8_0.7_singlekalman,61.077,51.685,74.626,71.808,57.701,78.853,81.672,80.515,72.461,79.592,74.621,59.392,51.547,77.942,51.689,88.069,70.767,78.667,16,5.3333,23569,3193,9736,38,59,12,4,105,32.12,74.354,83.443,67.05,22331,4431,10974,33305,26762,112,75
lemurs_0.01_0.4_0.8_0.8_doublekalman,68.691,63.797,76.374,68.446,77.466,78.865,86.021,81.287,71.652,87.343,77.064,67.31,80.297,78.422,80.398,84.377,95.496,74.667,17.333,8,22581,4181,1065,27,56,13,6,120,62.089,85.625,80.64,91.267,21581,5181,2065,23646,26762,95,75
lemurs_0.01_0.4_0.8_0.8_singlekalman,60.857,51.38,74.523,71.827,57.323,78.74,81.62,80.545,72.421,79.172,74.675,59.121,50.688,77.954,50.837,88.069,70.286,78.667,16,5.3333,23569,3193,9964,40,59,12,4,104,31.272,74.039,83.406,66.564,22321,4441,11212,33533,26762,113,75
lemurs_0.01_0.4_0.8_0.9_doublekalman,68.69,63.794,76.379,68.443,77.463,78.869,86.024,81.284,71.652,87.343,77.061,67.307,80.297,78.419,80.398,84.377,95.496,74.667,17.333,8,22581,4181,1065,27,56,13,6,120,62.087,85.625,80.64,91.267,21581,5181,2065,23646,26762,95,75
lemurs_0.01_0.4_0.8_0.9_singlekalman,60.902,51.42,74.575,71.861,57.351,78.777,81.657,80.555,72.463,79.172,74.709,59.149,50.691,77.956,50.837,88.069,70.286,78.667,16,5.3333,23569,3193,9964,39,59,12,4,104,31.278,74.169,83.551,66.681,22360,4402,11173,33533,26762,113,75
lemurs_0.01_0.4_0.8_0_doublekalman,68.971,63.538,77.235,68.284,77.276,79.797,85.993,81.259,71.993,87.913,76.969,67.666,79.927,78.385,80.031,84.198,95.285,74.667,17.333,8,22533,4229,1115,28,56,13,6,124,61.727,86.554,81.519,92.253,21816,4946,1832,23648,26762,96,75
lemurs_0.01_0.4_0.8_0_singlekalman,60.186,50.596,74.052,71.568,56.49,78.358,81.213,80.463,72.049,78.296,74.384,58.24,48.595,77.871,48.789,87.74,69.255,78.667,16,5.3333,23481,3281,10424,52,59,12,4,129,29.179,73.259,83.036,65.542,22222,4540,11683,33905,26762,115,75
lemurs_0.01_0.4_0.8_1_doublekalman,68.817,63.683,76.758,68.451,77.294,79.275,85.998,81.276,71.844,87.636,76.954,67.439,80.061,78.421,80.173,84.366,95.266,74.667,17.333,8,22578,4184,1122,30,56,13,6,123,61.856,86.001,81.081,91.557,21699,5063,2001,23700,26762,96,75
lemurs_0.01_0.4_0.8_1_singlekalman,60.909,51.416,74.596,71.856,57.352,78.797,81.67,80.556,72.471,79.189,74.706,59.159,50.688,77.957,50.833,88.061,70.286,78.667,16,5.3333,23567,3195,9963,39,59,12,4,106,31.276,74.209,83.592,66.719,22371,4391,11159,33530,26762,113,75
lemurs_0.01_0.4_0.9_0.1_doublekalman,68.406,63.497,76.095,68.215,77.315,78.755,85.501,81.27,71.399,87.079,76.99,67.042,79.897,78.394,80.001,84.116,95.337,74.667,17.333,8,22511,4251,1101,28,56,13,6,122,61.723,85.326,80.304,91.017,21491,5271,2121,23612,26762,96,75
lemurs_0.01_0.4_0.9_0.1_singlekalman,60.472,51.295,73.758,71.541,57.384,78.088,81.067,80.503,71.887,78.611,74.524,58.584,50.8,77.884,50.975,87.822,70.444,78.667,16,5.3333,23503,3259,9861,47,59,12,4,114,31.377,73.546,82.617,66.269,22110,4652,11254,33364,26762,113,75
lemurs_0.01_0.4_0.9_0.2_doublekalman,68.427,63.623,76.013,68.416,77.206,78.676,85.458,81.225,71.46,87.203,76.883,67.044,79.979,78.353,80.08,84.347,95.184,74.667,17.333,8,22573,4189,1142,27,56,13,6,123,61.721,85.278,80.424,90.757,21523,5239,2192,23715,26762,95,75
lemurs_0.01_0.4_0.9_0.2_singlekalman,60.545,51.508,73.656,71.695,57.525,78.039,81.065,80.457,71.907,78.907,74.452,58.748,51.229,77.832,51.401,88.017,70.621,78.667,16,5.3333,23555,3207,9799,46,59,12,4,116,31.718,73.591,82.655,66.319,22120,4642,11234,33354,26762,112,75
lemurs_0.01_0.4_0.9_0.3_doublekalman,68.444,63.624,76.046,68.416,77.235,78.714,85.495,81.24,71.477,87.205,76.907,67.067,79.942,78.372,80.039,84.31,95.178,74.667,17.333,8,22563,4199,1143,26,56,13,6,122,61.707,85.278,80.409,90.774,21519,5243,2187,23706,26762,95,75
lemurs_0.01_0.4_0.9_0.3_singlekalman,60.294,51.134,73.584,71.67,57.088,77.966,80.964,80.453,71.858,78.546,74.42,58.454,50.187,77.873,50.362,87.953,70.058,78.667,16,5.3333,23538,3224,10060,47,59,12,4,113,30.726,73.105,82.442,65.668,22063,4699,11535,33598,26762,114,75
lemurs_0.01_0.4_0.9_0.4_doublekalman,68.61,63.636,76.387,68.424,77.248,78.892,86.037,81.248,71.647,87.341,76.922,67.185,79.945,78.386,80.043,84.31,95.182,74.667,17.333,8,22563,4199,1142,26,56,13,6,123,61.723,85.537,80.652,91.053,21584,5178,2121,23705,26762,95,75
lemurs_0.01_0.4_0.9_0.4_singlekalman,60.712,51.256,74.37,71.728,57.217,78.618,81.545,80.488,72.291,79.047,74.532,58.915,50.542,77.894,50.702,88.032,70.223,78.667,16,5.3333,23559,3203,9990,43,59,12,4,111,31.082,73.824,83.185,66.357,22262,4500,11287,33549,26762,114,75
lemurs_0.01_0.4_0.9_0.5_doublekalman,68.702,63.808,76.389,68.445,77.477,78.894,86.032,81.266,71.657,87.399,77.012,67.307,80.099,78.431,80.188,84.265,95.385,74.667,17.333,8,22551,4211,1091,24,56,13,6,123,61.923,85.6,80.611,91.249,21573,5189,2069,23642,26762,94,75
lemurs_0.01_0.4_0.9_0.5_singlekalman,60.87,51.464,74.455,71.793,57.435,78.692,81.596,80.509,72.365,79.206,74.61,59.095,50.945,77.935,51.095,88.046,70.438,78.667,16,5.3333,23563,3199,9889,40,59,12,4,110,31.518,73.996,83.245,66.597,22278,4484,11174,33452,26762,113,75
lemurs_0.01_0.4_0.9_0.6_doublekalman,68.686,63.794,76.374,68.49,77.391,78.884,86.01,81.259,71.673,87.407,76.989,67.294,80.129,78.42,80.226,84.362,95.326,74.667,17.333,8,22577,4185,1107,26,56,13,6,121,61.924,85.557,80.637,91.116,21580,5182,2104,23684,26762,94,75
lemurs_0.01_0.4_0.9_0.6_singlekalman,61.005,51.69,74.46,71.811,57.704,78.702,81.604,80.512,72.377,79.38,74.623,59.236,51.558,77.936,51.704,88.076,70.773,78.667,16,5.3333,23571,3191,9734,39,59,12,4,107,32.125,74.204,83.275,66.915,22286,4476,11019,33305,26762,112,75
lemurs_0.01_0.4_0.9_0.7_doublekalman,68.684,63.788,76.376,68.486,77.387,78.886,86.011,81.259,71.672,87.407,76.986,67.291,80.143,78.419,80.241,84.37,95.334,74.667,17.333,8,22579,4183,1105,26,56,13,6,120,61.936,85.557,80.637,91.116,21580,5182,2104,23684,26762,94,75
lemurs_0.01_0.4_0.9_0.7_singlekalman,60.995,51.676,74.458,71.799,57.693,78.699,81.602,80.511,72.369,79.384,74.612,59.23,51.543,77.934,51.689,88.069,70.767,78.667,16,5.3333,23569,3193,9736,39,59,12,4,105,32.11,74.19,83.26,66.903,22282,4480,11023,33305,26762,112,75
lemurs_0.01_0.4_0.9_0.8_doublekalman,68.691,63.797,76.374,68.446,77.466,78.865,86.021,81.287,71.652,87.343,77.064,67.31,80.297,78.422,80.398,84.377,95.496,74.667,17.333,8,22581,4181,1065,27,56,13,6,120,62.089,85.625,80.64,91.267,21581,5181,2065,23646,26762,95,75
lemurs_0.01_0.4_0.9_0.8_singlekalman,60.798,51.373,74.4,71.82,57.318,78.622,81.556,80.541,72.353,79.028,74.668,59.009,50.684,77.947,50.837,88.069,70.286,78.667,16,5.3333,23569,3193,9964,41,59,12,4,104,31.262,73.877,83.222,66.418,22272,4490,11261,33533,26762,113,75
lemurs_0.01_0.4_0.9_0.9_doublekalman,68.69,63.794,76.379,68.443,77.463,78.869,86.024,81.284,71.652,87.343,77.061,67.307,80.297,78.419,80.398,84.377,95.496,74.667,17.333,8,22581,4181,1065,27,56,13,6,120,62.087,85.625,80.64,91.267,21581,5181,2065,23646,26762,95,75
lemurs_0.01_0.4_0.9_0.9_singlekalman,60.842,51.413,74.452,71.854,57.345,78.659,81.592,80.552,72.396,79.028,74.703,59.036,50.688,77.949,50.837,88.069,70.286,78.667,16,5.3333,23569,3193,9964,40,59,12,4,104,31.267,74.006,83.368,66.534,22311,4451,11222,33533,26762,113,75
lemurs_0.01_0.4_0.9_0_doublekalman,68.98,63.543,77.247,68.295,77.268,79.811,85.99,81.259,72.005,87.927,76.968,67.676,79.934,78.383,80.039,84.213,95.278,74.667,17.333,8,22537,4225,1117,28,56,13,6,122,61.73,86.568,81.541,92.255,21822,4940,1832,23654,26762,96,75
lemurs_0.01_0.4_0.9_0_singlekalman,61.236,51.695,74.974,71.64,57.809,79.141,81.838,80.486,72.557,79.777,74.461,59.402,51.756,77.851,51.936,87.931,70.954,78.667,16,5.3333,23532,3230,9633,48,59,12,4,120,32.281,74.874,83.832,67.647,22435,4327,10730,33165,26762,112,75
lemurs_0.01_0.4_0.9_1_doublekalman,68.817,63.683,76.758,68.451,77.294,79.275,85.998,81.276,71.844,87.636,76.954,67.439,80.061,78.421,80.173,84.366,95.266,74.667,17.333,8,22578,4184,1122,30,56,13,6,123,61.856,86.001,81.081,91.557,21699,5063,2001,23700,26762,96,75
lemurs_0.01_0.4_0.9_1_singlekalman,60.849,51.409,74.473,71.849,57.346,78.679,81.606,80.553,72.403,79.045,74.699,59.046,50.684,77.95,50.833,88.061,70.286,78.667,16,5.3333,23567,3195,9963,40,59,12,4,106,31.266,74.046,83.409,66.573,22322,4440,11208,33530,26762,113,75
lemurs_0.01_0.5_0.7_0.1_doublekalman,68.667,63.557,76.577,68.134,77.522,79.273,85.663,81.278,71.593,87.39,76.976,67.269,79.886,78.433,79.983,83.936,95.502,74.667,17.333,8,22463,4299,1058,26,56,13,6,123,61.783,85.667,80.48,91.569,21538,5224,1983,23521,26762,93,75
lemurs_0.01_0.5_0.7_0.1_singlekalman,60.366,50.887,74.099,71.206,57.108,78.326,81.421,80.531,71.877,78.38,74.51,58.401,49.966,77.971,50.12,87.404,70.098,78.667,16,5.3333,23391,3371,9978,41,59,12,4,118,30.712,73.303,82.352,66.046,22039,4723,11330,33369,26762,113,75
lemurs_0.01_0.5_0.7_0.2_doublekalman,68.689,63.684,76.494,68.331,77.417,79.193,85.624,81.234,71.652,87.51,76.871,67.27,79.979,78.392,80.072,84.168,95.36,74.667,17.333,8,22525,4237,1096,25,56,13,6,126,61.792,85.624,80.599,91.317,21570,5192,2051,23621,26762,92,75
