metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_0.01_0.4_0.8_0_doublekalman,67.776,61.637,76.988,70.364,71.906,80.558,83.322,80.921,72.923,87.596,76.094,66.655,76.164,78.007,76.34,87.097,89.006,78.667,14.667,6.6667,23309,3453,2879,47,59,11,5,147,57.008,84.767,83.858,85.696,22442,4320,3746,26188,26762,83,75
lemurs_0.01_0.4_0.8_0_singlekalman,65.977,59.312,75.976,72.125,66.954,79.703,82.565,80.548,73.289,86.148,74.982,64.596,70.346,77.69,70.611,89.167,82.774,78.667,17.333,4,23863,2899,4966,71,59,13,3,179,50.453,81.945,85.109,79.007,22777,3985,6052,28829,26762,99,75
lemurs_0.01_0.4_0.8_1_doublekalman,69.853,64.305,78.262,69.488,76.746,81.061,85.528,81.131,73.114,89.871,76.596,68.838,81.018,78.232,81.134,85.838,94.804,78.667,13.333,8,22972,3790,1259,31,59,10,6,119,62.333,87.134,83.013,91.684,22216,4546,2015,24231,26762,88,75
lemurs_0.01_0.4_0.8_1_singlekalman,69.172,64.246,77.014,71.434,74.164,79.896,84.967,80.78,73.483,89.716,75.582,67.809,79.299,78.012,79.452,87.886,91.244,78.667,16,5.3333,23520,3242,2257,41,59,12,4,135,59.974,86.233,84.646,87.881,22653,4109,3124,25777,26762,106,75
lemurs_0.01_0.4_0.9_0.1_doublekalman,67.656,61.228,77.159,70.286,71.448,80.817,83.147,80.925,72.981,87.656,76.056,66.668,75.278,78.049,75.432,86.903,88.339,78.667,14.667,6.6667,23257,3505,3070,41,59,11,5,130,56.203,84.895,84.205,85.597,22535,4227,3792,26327,26762,80,75
lemurs_0.01_0.4_0.9_0.1_singlekalman,65.358,58.786,75.236,72.05,66.36,79.239,82.028,80.531,72.885,85.397,74.874,63.941,67.42,77.874,67.689,88.132,81.171,78.667,16,5.3333,23586,3176,5471,72,59,12,4,149,47.92,81.542,85.038,78.322,22758,4004,6299,29057,26762,95,75
lemurs_0.01_0.4_0.9_0.2_doublekalman,67.927,61.232,77.755,70.387,71.333,81.399,83.482,80.921,73.323,87.959,76.082,66.921,75.032,78.041,75.207,86.94,88.109,78.667,14.667,6.6667,23267,3495,3140,47,59,11,5,124,55.941,85.452,84.885,86.026,22717,4045,3690,26407,26762,80,75
lemurs_0.01_0.4_0.9_0.2_singlekalman,66.061,59.202,76.255,72.072,66.858,80.168,82.611,80.55,73.414,86.329,75.004,64.751,69.842,77.702,70.126,88.962,82.526,78.667,17.333,4,23808,2954,5041,76,59,13,3,146,50.005,82.667,85.89,79.677,22986,3776,5863,28849,26762,95,75
lemurs_0.01_0.4_0.9_0.3_doublekalman,67.969,61.497,77.531,70.361,71.753,81.105,83.672,80.945,73.2,87.994,76.053,66.922,75.686,78.051,75.865,86.963,88.683,78.667,14.667,6.6667,23273,3489,2970,48,59,11,5,133,56.598,85.267,84.441,86.111,22598,4164,3645,26243,26762,81,75
lemurs_0.01_0.4_0.9_0.3_singlekalman,65.542,58.97,75.399,72.104,66.567,79.292,82.069,80.567,73.001,85.503,75.011,64.136,69.576,77.712,69.875,89.096,82.255,78.667,17.333,4,23844,2918,5144,80,59,13,3,153,49.719,81.55,84.941,78.419,22732,4030,6256,28988,26762,95,75
lemurs_0.01_0.4_0.9_0.4_doublekalman,68.471,62.062,77.963,70.513,72.345,81.516,83.753,80.947,73.487,88.547,76.165,67.442,76.358,78.079,76.511,86.989,89.25,78.667,14.667,6.6667,23280,3482,2804,41,59,11,5,124,57.29,85.971,84.882,87.088,22716,4046,3368,26084,26762,79,75
lemurs_0.01_0.4_0.9_0.4_singlekalman,64.916,58.922,74.139,72.171,66.457,78.07,81.375,80.582,72.384,84.278,75.05,63.251,69.543,77.737,69.834,89.216,82.153,80,16,4,23876,2886,5187,78,60,12,3,147,49.681,80.308,83.761,77.129,22416,4346,6647,29063,26762,97,75
lemurs_0.01_0.4_0.9_0.5_doublekalman,68.774,62.757,77.816,70.572,73.211,81.4,83.636,80.954,73.441,88.873,76.196,67.718,77.558,78.08,77.703,87.049,90.305,78.667,14.667,6.6667,23296,3466,2501,39,59,11,5,131,58.476,86.425,84.867,88.041,22712,4050,3085,25797,26762,78,75
lemurs_0.01_0.4_0.9_0.5_singlekalman,65.258,59.622,74.066,72.209,67.307,77.88,81.475,80.596,72.362,84.635,75.133,63.589,70.869,77.754,71.172,89.227,83.17,80,16,4,23879,2883,4832,81,60,12,3,158,51.019,80.486,83.417,77.754,22324,4438,6387,28711,26762,96,75
lemurs_0.01_0.4_0.9_0.6_doublekalman,68.692,63.097,77.258,70.618,73.622,80.779,83.395,80.958,73.187,88.687,76.21,67.588,78.152,78.073,78.335,87.127,90.834,78.667,14.667,6.6667,23317,3445,2353,49,59,11,5,133,59.048,86.173,84.414,88.005,22591,4171,3079,25670,26762,79,75
lemurs_0.01_0.4_0.9_0.6_singlekalman,65.733,60.353,74.233,72.233,68.216,77.867,81.973,80.6,72.463,85.186,75.165,64.03,72.416,77.748,72.73,89.309,84.343,80,16,4,23901,2861,4437,84,60,12,3,151,52.543,81.031,83.417,78.778,22324,4438,6014,28338,26762,97,75
lemurs_0.01_0.4_0.9_0.7_doublekalman,68.634,63.475,76.717,70.679,74.055,80.049,83.405,80.942,72.951,88.537,76.162,67.432,79.045,78.047,79.269,87.355,91.528,78.667,14.667,6.6667,23378,3384,2164,60,59,11,5,136,59.868,85.558,83.607,87.601,22375,4387,3167,25542,26762,80,75
lemurs_0.01_0.4_0.9_0.7_singlekalman,65.701,60.842,73.56,71.76,69.35,77.233,81.595,80.694,71.894,85.153,75.288,64.11,73.305,77.893,73.634,88.555,85.581,80,14.667,5.3333,23699,3063,3993,88,60,11,4,155,53.728,80.894,82.3,79.536,22025,4737,5667,27692,26762,95,75
lemurs_0.01_0.4_0.9_0.8_doublekalman,69.593,63.99,78.123,70.496,74.994,81.174,84.572,80.965,73.56,90.083,76.068,68.525,79.908,78.123,80.095,87.049,92.602,78.667,14.667,6.6667,23296,3466,1861,50,59,11,5,130,60.865,86.858,84.254,89.629,22548,4214,2609,25157,26762,80,75
lemurs_0.01_0.4_0.9_0.8_singlekalman,67.537,62.592,75.461,71.743,71.628,78.918,82.942,80.685,72.853,87.882,75.199,66.086,76.627,77.913,76.896,88.529,88.386,80,14.667,5.3333,23692,3070,3113,72,60,11,4,149,57.074,83.484,83.551,83.417,22360,4402,4445,26805,26762,96,75
lemurs_0.01_0.4_0.9_0.9_doublekalman,69.483,64.012,77.845,70.033,75.619,80.744,85.073,81.035,73.187,89.667,76.298,68.414,80.173,78.186,80.319,86.466,93.363,78.667,13.333,8,23140,3622,1645,39,59,10,6,129,61.312,86.663,83.462,90.119,22336,4426,2449,24785,26762,85,75
